Unnamed: 0,Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%,to_drop
3206,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Bangalore,Manual,600000.0,69836,877000.0,31.58494868871152,0
5646,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Chandigarh,Manual,550000.0,65000,877000.0,37.28620296465222,0
10045,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Delhi,Manual,465000.0,72000,877000.0,46.97833523375142,0
10633,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Delhi,Manual,525000.0,82585,877000.0,40.136830102622575,0
11552,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Delhi,Manual,473000.0,97536,877000.0,46.06613454960091,0
13407,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Delhi,Manual,443000.0,95073,877000.0,49.48688711516533,0
21423,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Mumbai,Manual,515000.0,71617,877000.0,41.27708095781072,0
22557,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Mumbai,Manual,475000.0,68672,877000.0,45.83808437856328,0
22659,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Mumbai,Manual,450000.0,75000,877000.0,48.68871151653364,0
23107,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Mumbai,Manual,479000.0,71000,877000.0,45.38198403648803,0
26397,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Pune,Manual,575000.0,94000,877000.0,34.43557582668187,0
26433,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Pune,Manual,550000.0,68099,877000.0,37.28620296465222,0
26687,2014,Honda,City [2008-2011],1.5 V MT,Petrol,Pune,Manual,495000.0,89550,877000.0,43.557582668187,0
3492,2015,Honda,City [2008-2011],1.5 V MT,Petrol,Bangalore,Manual,660000.0,78300,877000.0,24.743443557582665,0
