,Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%,to_drop
0,2022,Kia,Seltos,GTX Plus 1.5 Diesel AT,Diesel,Ahmedabad,Automatic (TC),1890000.0,36000,2000000.0,5.5,0
1,2021,Tata,Harrier [2019-2023],XZ,Diesel,Ahmedabad,Manual,1780000.0,68578,1913000.0,6.952430737062206,0
2,2019,Volkswagen,Polo,Trendline 1.0L MPI,Petrol,Ahmedabad,Manual,450000.0,48000,649000.0,30.662557781201848,0
6,2022,Maruti Suzuki,Celerio,ZXi,Petrol,Ahmedabad,Manual,581000.0,26009,611000.0,4.909983633387888,0
7,2016,Mahindra,XUV500 [2015-2018],W10,Diesel,Ahmedabad,Manual,851000.0,68275,1683000.0,49.435531788472964,0
8,2019,Maruti Suzuki,Vitara Brezza [2016-2020],ZDi,Diesel,Ahmedabad,Manual,890000.0,66290,908000.0,1.9823788546255507,0
9,2019,Maruti Suzuki,Vitara Brezza [2016-2020],ZDi,Diesel,Ahmedabad,Manual,900000.0,66290,908000.0,0.881057268722467,0
10,2015,Toyota,Fortuner [2012-2016],3.0 4x2 AT,Diesel,Ahmedabad,Automatic,1651000.0,70358,2647000.0,37.6275028333963,0
11,2021,Honda,Amaze [2018-2021],1.2 V CVT Petrol,Petrol,Ahmedabad,Automatic (CVT),775000.0,58000,862000.0,10.092807424593968,0
12,2021,Mahindra,Thar,LX Hard Top Diesel AT,Diesel,Ahmedabad,Automatic (TC),1451000.0,29926,1628000.0,10.872235872235873,0
13,2019,Honda,Amaze [2018-2021],1.2 S MT Petrol,Petrol,Ahmedabad,Manual,625000.0,80306,712000.0,12.219101123595506,0
14,2020,Kia,Seltos [2019-2022],GTX Plus 1.4,Petrol,Ahmedabad,Manual,1550000.0,35092,1695000.0,8.55457227138643,0
15,2019,Honda,WR-V [2017-2020],VX MT Petrol,Petrol,Ahmedabad,Manual,821000.0,19122,940000.0,12.659574468085106,0
16,2020,Hyundai,Venue [2019-2022],S 1.0 Turbo,Petrol,Ahmedabad,Manual,850000.0,29564,874000.0,2.745995423340961,0
17,2020,Kia,Seltos [2019-2022],HTX IVT 1.5 [2019-2020],Petrol,Ahmedabad,Automatic (CVT),1300000.0,41477,1409000.0,7.73598296664301,0
18,2020,Kia,Seltos [2019-2022],HTK 1.5,Petrol,Ahmedabad,Manual,1051000.0,57277,1125000.0,6.577777777777778,0
19,2019,Honda,Jazz,V,Petrol,Ahmedabad,Manual,675000.0,23044,811000.0,16.769420468557335,0
22,2018,Skoda,Kodiaq,Style,Diesel,Ahmedabad,Automatic (DCT),2251000.0,84398,3850000.0,41.532467532467535,0
23,2021,MG,Hector [2019-2021],Sharp 1.5 DCT Petrol,Petrol,Ahmedabad,Automatic (DCT),1651000.0,35353,1757000.0,6.033010813887308,0
24,2023,MG,Gloster,Savvy 6 STR 2.0 Twin Turbo 4WD,Diesel,Ahmedabad,Automatic (TC),3650000.0,21122,4316000.0,15.430954587581095,0
26,2020,Hyundai,Creta,SX (O) 1.5 Diesel,Diesel,Ahmedabad,Manual,1651000.0,57720,1885000.0,12.413793103448276,0
27,2018,Toyota,Yaris,J CVT,Petrol,Ahmedabad,Automatic (CVT),840000.0,38419,1199000.0,29.941618015012512,0
28,2019,Honda,WR-V [2017-2020],VX MT Petrol,Petrol,Ahmedabad,Manual,725000.0,49611,940000.0,22.872340425531913,0
29,2016,Honda,Brio,S MT,Petrol,Ahmedabad,Manual,425000.0,34689,532000.0,20.112781954887218,0
30,2023,Kia,Seltos,HTX 1.5 Diesel AT,Diesel,Ahmedabad,Automatic (TC),1735000.0,25600,1822000.0,4.774972557628979,0
31,2021,Kia,Sonet [2020-2022],HTK Plus 1.2,Petrol,Ahmedabad,Manual,900000.0,25789,905000.0,0.5524861878453038,0
32,2017,Honda,BR-V,S Diesel,Diesel,Ahmedabad,Manual,675000.0,93990,1195000.0,43.51464435146444,0
33,2022,Kia,Seltos,HTK Plus 1.5 Diesel AT,Diesel,Ahmedabad,Automatic (TC),1391000.0,41703,1692000.0,17.789598108747047,0
34,2020,BMW,X3 [2018-2022],xDrive 20d Luxury Line,Diesel,Ahmedabad,Automatic (TC),4825000.0,76692,6483000.0,25.574579669905905,0
35,2022,Land Rover,Range Rover Velar [2017-2023],S R-Dynamic 2.0 Petrol,Petrol,Ahmedabad,Automatic (TC),8850000.0,8680,8941000.0,1.0177832457219549,0
36,2019,Jaguar,XE [2016-2019],Prestige,Diesel,Ahmedabad,Automatic,2750000.0,72630,4437000.0,38.02118548568853,0
37,2020,Jeep,Compass [2017-2021],Limited Plus 2.0 Diesel 4x4 AT,Diesel,Ahmedabad,Automatic (TC),1851000.0,56371,2503000.0,26.048741510187774,0
38,2018,Jaguar,XF,Prestige Diesel,Diesel,Ahmedabad,Automatic,2800000.0,83190,5507000.0,49.15562011984746,0
39,2021,Land Rover,Discovery [2014-2017],SE,Diesel,Ahmedabad,Automatic,5600000.0,22936,10500000.0,46.666666666666664,0
40,2020,MINI,Cooper,S,Petrol,Ahmedabad,Automatic (DCT),3000000.0,24727,4195000.0,28.486293206197853,0
43,2018,BMW,X5 [2012-2014],xDrive 30d,Diesel,Ahmedabad,Automatic,4651000.0,41964,7841000.0,40.68358627726055,0
44,2015,Honda,Amaze [2013-2016],1.5 S i-DTEC,Diesel,Ahmedabad,Manual,460000.0,95000,723000.0,36.376210235131396,0
45,2015,Hyundai,Elite i20 [2014-2015],Sportz 1.2,Petrol,Ahmedabad,Manual,531000.0,105072,676000.0,21.449704142011836,0
46,2023,Land Rover,Discovery [2014-2017],SE,Mild,(Electric,Automatic,6600000.0,125,10500000.0,37.142857142857146,0
47,2023,Audi,A6,Technology 45 TFSI,Petrol,Ahmedabad,Automatic (DCT),5450000.0,8300,7041000.0,22.596222127538702,0
49,2017,Hyundai,Elite i20 [2014-2015],Sportz 1.2,Petrol,Ahmedabad,Manual,565000.0,90261,676000.0,16.420118343195266,0
50,2022,Audi,A6,Premium Plus 45 TFSI,Petrol,Ahmedabad,Automatic (DCT),4900000.0,22840,6407000.0,23.521148743561728,0
51,2023,Audi,Q3,40 TFSI Premium,Petrol,Ahmedabad,Automatic (DCT),3850000.0,6900,4381000.0,12.12052042912577,0
52,2023,Audi,Q3,40 TFSI Premium,Petrol,Ahmedabad,Automatic (DCT),3850000.0,9529,4381000.0,12.12052042912577,0
53,2023,Audi,A6,Technology 45 TFSI,Petrol,Ahmedabad,Automatic (DCT),5450000.0,8577,7041000.0,22.596222127538702,0
54,2016,Mahindra,TUV300 [2015-2019],T4,Diesel,Ahmedabad,Manual,575000.0,75000,780000.0,26.282051282051285,0
55,2017,Hyundai,Elite i20 [2014-2015],Asta 1.2,Petrol,Ahmedabad,Manual,590000.0,60000,712000.0,17.134831460674157,0
56,2021,Toyota,Innova Crysta [2020-2023],ZX 2.4 AT 7 STR,Diesel,Ahmedabad,Automatic (TC),2600000.0,88236,2676000.0,2.8400597907324365,0
