Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%
2021,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,675000.0,37920,700000.0,3.571428571428571
2015,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,490000.0,52000,700000.0,30.0
2017,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,525000.0,47300,700000.0,25.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,494000.0,53587,700000.0,29.428571428571427
2015,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,392000.0,116985,700000.0,44.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,625000.0,52000,700000.0,10.714285714285714
2018,Maruti Suzuki,Swift,VXi,Petrol,Ahmedabad,Manual,600000.0,37000,700000.0,14.285714285714285
2018,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,699000.0,53278,700000.0,0.14285714285714285
2017,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,595000.0,35000,700000.0,15.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,595000.0,32000,700000.0,15.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,685000.0,30000,700000.0,2.142857142857143
2019,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,695000.0,21094,700000.0,0.7142857142857143
2018,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,625000.0,45000,700000.0,10.714285714285714
2018,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,610000.0,68152,700000.0,12.857142857142856
2017,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,620000.0,35850,700000.0,11.428571428571429
2015,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,535000.0,119128,700000.0,23.57142857142857
2015,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,554000.0,55048,700000.0,20.857142857142858
2018,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,675000.0,41000,700000.0,3.571428571428571
2015,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,538000.0,66341,700000.0,23.142857142857142
2018,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,585000.0,72198,700000.0,16.428571428571427
2015,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,545000.0,48000,700000.0,22.142857142857142
2017,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,650000.0,45000,700000.0,7.142857142857142
2016,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,549000.0,50676,700000.0,21.571428571428573
2017,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,561000.0,59084,700000.0,19.857142857142858
2015,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,520000.0,46000,700000.0,25.71428571428571
2023,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,700000.0,50000,700000.0,0.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,620000.0,29000,700000.0,11.428571428571429
2015,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,500000.0,61000,700000.0,28.57142857142857
2018,Maruti Suzuki,Swift,VXi,Petrol,Chandigarh,Manual,575000.0,68000,700000.0,17.857142857142858
2017,Maruti Suzuki,Swift,VXi,Petrol,Chandigarh,Manual,496000.0,62776,700000.0,29.142857142857142
2018,Maruti Suzuki,Swift,VXi,Petrol,Chandigarh,Manual,539000.0,42669,700000.0,23.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Panchkula,Manual,475000.0,76000,700000.0,32.142857142857146
2016,Maruti Suzuki,Swift,VXi,Petrol,Panchkula,Manual,475000.0,42500,700000.0,32.142857142857146
2022,Maruti Suzuki,Swift,VXi,Petrol,Mohali,Manual,645000.0,29000,700000.0,7.857142857142857
2022,Maruti Suzuki,Swift,VXi,Petrol,Mohali,Manual,645000.0,28000,700000.0,7.857142857142857
2019,Maruti Suzuki,Swift,VXi,Petrol,Mohali,Manual,565000.0,46000,700000.0,19.28571428571429
2015,Maruti Suzuki,Swift,VXi,Petrol,Mohali,Manual,475000.0,53000,700000.0,32.142857142857146
2015,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,485000.0,49820,700000.0,30.714285714285715
2017,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,590000.0,40000,700000.0,15.714285714285714
2017,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,520000.0,62193,700000.0,25.71428571428571
2017,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,570000.0,47000,700000.0,18.571428571428573
2021,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,675000.0,30000,700000.0,3.571428571428571
2019,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,650000.0,55000,700000.0,7.142857142857142
2017,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,540000.0,52020,700000.0,22.857142857142858
2018,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,520000.0,88200,700000.0,25.71428571428571
2019,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,610000.0,42600,700000.0,12.857142857142856
2014,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,470000.0,76299,700000.0,32.857142857142854
2016,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,436000.0,67102,700000.0,37.714285714285715
2021,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,671000.0,42345,700000.0,4.142857142857142
2016,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,495000.0,43752,700000.0,29.28571428571429
2017,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,540000.0,64000,700000.0,22.857142857142858
2015,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,485000.0,29356,700000.0,30.714285714285715
