,Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%,to_drop,Year_jittered
0,2021,Tata,Tiago,XZ,Petrol,Ahmedabad,Manual,625000.0,28500,639000.0,2.190923317683881,0,2020.8471805530453
1,2021,Tata,Tiago,XZ,Petrol,Ahmedabad,Manual,615000.0,42200,639000.0,3.755868544600939,0,2020.9400325320803
2,2021,Tata,Tiago,XZ,Petrol,Ahmedabad,Manual,590000.0,20000,639000.0,7.668231611893583,0,2020.7895716609435
3,2021,Tata,Tiago,XZ,Petrol,Delhi,Manual,540000.0,21869,639000.0,15.492957746478872,0,2020.8022388396892
4,2021,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,596000.0,50406,639000.0,6.729264475743349,0,2020.995648834267
5,2021,Tata,Tiago,XZ,Petrol,Mumbai,Manual,616000.0,34270,639000.0,3.599374021909233,0,2020.8862868245076
6,2019,Tata,Tiago,XZ,Petrol,Ahmedabad,Manual,478000.0,20247,639000.0,25.19561815336463,0,2018.7912457075727
7,2019,Tata,Tiago,XZ,Petrol,Bangalore,Manual,595000.0,51666,639000.0,6.885758998435055,0,2019.0041885053317
8,2019,Tata,Tiago,XZ,Petrol,Chennai,Manual,620000.0,48140,639000.0,2.97339593114241,0,2018.9802909813843
9,2019,Tata,Tiago,XZ,Petrol,Delhi,Manual,525000.0,15000,639000.0,17.84037558685446,0,2018.755684077354
10,2019,Tata,Tiago,XZ,Petrol,Delhi,Manual,445000.0,57000,639000.0,30.359937402190923,0,2019.0403397795048
11,2019,Tata,Tiago,XZ,Petrol,Noida,Manual,515000.0,54537,639000.0,19.405320813771517,0,2019.0236467558286
12,2019,Tata,Tiago,XZ,Petrol,Noida,Manual,470000.0,78001,639000.0,26.447574334898277,0,2019.1826744080968
13,2019,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,575000.0,46773,639000.0,10.015649452269171,0,2018.971026116031
14,2019,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,500000.0,42147,639000.0,21.752738654147105,0,2018.9396733236943
15,2019,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,535000.0,85000,639000.0,16.275430359937403,0,2019.2301102476054
16,2019,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,523000.0,36754,639000.0,18.153364632237874,0,2018.9031221760347
17,2019,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,523000.0,68420,639000.0,18.153364632237874,0,2019.117739020423
18,2019,Tata,Tiago,XZ,Petrol,Hyderabad,Manual,606000.0,33476,639000.0,5.164319248826291,0,2018.8809054762335
19,2019,Tata,Tiago,XZ,Petrol,Kolkata,Manual,485000.0,6784,639000.0,24.100156494522693,0,2018.7
20,2019,Tata,Tiago,XZ,Petrol,Thane,Manual,499000.0,22782,639000.0,21.90923317683881,0,2018.8084267124525
21,2019,Tata,Tiago,XZ,Petrol,Mumbai,Manual,565000.0,18218,639000.0,11.580594679186229,0,2018.777494126152
